tick,avg_buy_price,avg_sell_price
0,21.0,43.0
1,19.0,39.0
2,20.0,40.0
3,13.0,26.0
4,28.0,56.0
5,14.0,29.0
6,25.0,51.0
7,7.0,14.0
8,25.0,50.0
9,23.0,46.0
10,26.0,53.0
11,25.0,50.0
12,38.0,77.0
13,16.0,33.0
14,30.0,61.0
15,45.0,90.0
16,32.0,64.0
17,31.0,63.0
18,32.0,64.0
19,37.0,75.0
20,41.0,82.0
21,43.0,86.0
22,29.0,59.0
23,5.0,11.0
24,13.0,26.0
25,8.0,17.0
26,5.0,10.0
27,5.0,10.0
28,19.0,38.0
29,12.0,24.0
30,7.0,14.0
31,11.0,23.0
32,5.0,10.0
33,8.0,17.0
34,5.0,10.0
35,11.0,23.0
36,12.0,25.0
37,32.0,64.0
38,26.0,53.0
39,28.0,56.0
40,30.0,60.0
41,44.0,89.0
42,55.0,110.0
43,39.0,78.0
44,37.0,75.0
45,41.0,82.0
46,33.0,66.0
47,39.0,78.0
48,64.0,128.0
49,66.0,133.0
50,55.0,111.0
51,45.0,90.0
52,41.0,82.0
53,31.0,63.0
54,33.0,67.0
55,38.0,76.0
56,35.0,71.0
57,40.0,81.0
58,23.0,46.0
59,19.0,38.0
