tick,avg_buy_price,avg_sell_price
0,34.0,69.0
1,11.0,22.0
2,22.0,45.0
3,21.0,42.0
4,35.0,70.0
5,26.0,52.0
6,8.0,16.0
7,21.0,42.0
8,24.0,48.0
9,13.0,27.0
10,22.0,45.0
11,26.0,53.0
12,13.0,27.0
13,22.0,44.0
14,15.0,31.0
15,46.0,93.0
16,49.0,99.0
17,16.0,33.0
18,21.0,42.0
19,36.0,72.0
20,40.0,80.0
21,26.0,53.0
22,11.0,23.0
23,11.0,23.0
24,34.0,69.0
25,16.0,33.0
26,18.0,37.0
27,5.0,10.0
28,21.0,42.0
29,5.0,10.0
30,10.0,21.0
31,12.0,24.0
32,5.0,10.0
33,5.0,10.0
34,6.0,13.0
35,6.0,13.0
36,15.0,31.0
37,29.0,58.0
38,14.0,29.0
39,24.0,48.0
40,49.0,98.0
41,33.0,66.0
42,35.0,71.0
43,35.0,71.0
44,45.0,91.0
45,54.0,109.0
46,53.0,106.0
47,82.0,165.0
48,51.0,103.0
49,55.0,111.0
50,50.0,101.0
51,46.0,92.0
52,38.0,77.0
53,53.0,107.0
54,48.0,96.0
55,48.0,97.0
56,25.0,51.0
57,32.0,64.0
58,26.0,53.0
59,22.0,45.0
