tick,avg_buy_price,avg_sell_price
0,21.0,42.0
1,26.0,53.0
2,8.0,16.0
3,13.0,26.0
4,8.0,16.0
5,7.0,14.0
6,14.0,28.0
7,9.0,18.0
8,10.0,20.0
9,7.0,14.0
10,16.0,32.0
11,11.0,23.0
12,18.0,37.0
13,40.0,80.0
14,10.0,20.0
15,39.0,79.0
16,26.0,53.0
17,24.0,48.0
18,13.0,27.0
19,21.0,43.0
20,22.0,44.0
21,26.0,52.0
22,18.0,37.0
23,13.0,26.0
24,18.0,37.0
25,16.0,32.0
26,5.0,10.0
27,12.0,25.0
28,5.0,10.0
29,10.0,21.0
30,5.0,10.0
31,5.0,10.0
32,10.0,20.0
33,5.0,10.0
34,9.0,18.0
35,5.0,10.0
36,5.0,10.0
37,23.0,47.0
38,18.0,36.0
39,36.0,73.0
40,38.0,77.0
41,31.0,63.0
42,41.0,83.0
43,48.0,97.0
44,58.0,117.0
45,71.0,143.0
46,58.0,116.0
47,50.0,101.0
48,58.0,117.0
49,65.0,130.0
50,54.0,108.0
51,48.0,97.0
52,46.0,93.0
53,54.0,108.0
54,40.0,81.0
55,50.0,100.0
56,23.0,46.0
57,19.0,38.0
58,39.0,78.0
59,30.0,60.0
