buy_price,demand,sell_price,tick,sun,buy_price_forecast_1,sell_price_forecast_1,demand_forecast_1,buy_price_forecast_2,sell_price_forecast_2,demand_forecast_2,buy_price_forecast_3,sell_price_forecast_3,demand_forecast_3,buy_price_forecast_5,sell_price_forecast_5,demand_forecast_5,buy_price_forecast_8,sell_price_forecast_8,demand_forecast_8,buy_price_forecast_12,sell_price_forecast_12,demand_forecast_12,buy_price_forecast_20,sell_price_forecast_20,demand_forecast_20,price_volatility,price_momentum,price_rsi,price_spread,spread_ma,sun_forecast,sun_trend,demand_volatility,demand_trend,price_demand_corr,storage,profit,storage_state,action
5,1.0550118815116092,10,34,91,38.25263157894736,76.94736842105263,2.086732828543326,38.119548872180445,76.68045112781955,2.1565490512167727,37.986466165413525,76.41353383458647,2.297356485730584,37.72030075187969,75.8796992481203,2.2201260596241847,37.32105263157894,75.07894736842105,2.1795725277852496,36.78872180451127,74.01127819548873,1.8504226064603497,35.72406015037593,71.87593984962406,1.6319982945532037,11.909748329127613,0.0,41.66666666666667,5,11.7,74.0,-2.199999999999999,0.7755972343111974,0.029476208288463035,0.1527119787503208,49.85209134812217,-1941.9691092633363,charged,solar_1.394J
5,0.7724053893703855,10,35,86,38.25263157894736,76.94736842105263,2.1565490512167727,38.119548872180445,76.68045112781955,2.297356485730584,37.986466165413525,76.41353383458647,2.288900820443815,37.72030075187969,75.8796992481203,2.2321105050911347,37.32105263157894,75.07894736842105,2.104058593525676,36.78872180451127,74.01127819548873,1.8025468747980387,35.72406015037593,71.87593984962406,1.6227717140121574,11.137419147323044,-0.375,40.243902439024396,5,10.1,66.0,-3.1999999999999993,0.8339393128625846,0.007001166392240041,0.28269233994564935,49.926030011571754,-1946.2578861434283,no_change,grid_1.539J_std
21,2.6041241668537145,42,36,80,38.25263157894736,76.94736842105263,2.297356485730584,38.119548872180445,76.68045112781955,2.288900820443815,37.986466165413525,76.41353383458647,2.2201260596241847,37.72030075187969,75.8796992481203,2.2621015427094537,37.32105263157894,75.07894736842105,2.000850076443443,36.78872180451127,74.01127819548873,1.7876874897746582,35.72406015037593,71.87593984962406,1.4943120671319334,10.632621105773845,0.3999999999999999,44.943820224719104,21,11.2,58.0,-4.299999999999997,0.8147109610254497,0.0005145799332685637,0.3926360730486315,47.69300188321346,-1926.1652665290824,discharged,solar_1.151J
36,3.850227431477361,73,37,74,38.25263157894736,76.94736842105263,2.288900820443815,38.119548872180445,76.68045112781955,2.2201260596241847,37.986466165413525,76.41353383458647,2.2321105050911347,37.72030075187969,75.8796992481203,2.1795725277852496,37.32105263157894,75.07894736842105,1.883561211711939,36.78872180451127,74.01127819548873,1.827258503806868,35.72406015037593,71.87593984962406,1.3917030734454756,11.16573706526024,1.5714285714285716,51.485148514851495,37,13.6,49.0,-5.299999999999995,0.8529637876219578,0.006986769944263089,0.5814003353288231,46.407134129955566,-1966.983468409665,discharged,sell_4.000J@60.00
26,2.4990458617312847,53,38,66,38.25263157894736,76.94736842105263,2.2201260596241847,38.119548872180445,76.68045112781955,2.2321105050911347,37.986466165413525,76.41353383458647,2.2621015427094537,37.72030075187969,75.8796992481203,2.104058593525676,37.32105263157894,75.07894736842105,1.8504226064603497,36.78872180451127,74.01127819548873,1.8000788026728423,35.72406015037593,71.87593984962406,1.3447717804972699,9.885662132071564,2.25,55.91397849462366,27,14.7,40.0,-6.200000000000003,0.8499272800779577,0.01572282592957948,0.6129684174435386,47.02382794516901,-2031.9586608146783,charged,grid_2.808J_std
13,0.7460353295495628,26,39,58,38.25263157894736,76.94736842105263,2.2321105050911347,38.119548872180445,76.68045112781955,2.2621015427094537,37.986466165413525,76.41353383458647,2.1795725277852496,37.72030075187969,75.8796992481203,2.000850076443443,37.32105263157894,75.07894736842105,1.8025468747980387,36.78872180451127,74.01127819548873,1.7647329924207587,35.72406015037593,71.87593984962406,1.411851208570864,9.236084839253847,1.6,46.0,13,15.5,30.0,-6.999999999999997,0.9171745229861696,-0.008960798199386865,0.6595384867382226,47.53113822714251,-2041.6571200988226,charged,solar_1.659J
22,1.1586917569775474,44,40,49,38.25263157894736,76.94736842105263,2.2621015427094537,38.119548872180445,76.68045112781955,2.1795725277852496,37.986466165413525,76.41353383458647,2.104058593525676,37.72030075187969,75.8796992481203,1.883561211711939,37.32105263157894,75.07894736842105,1.7876874897746582,36.78872180451127,74.01127819548873,1.6604248188020445,35.72406015037593,71.87593984962406,1.411851208570864,9.301244964774172,3.4000000000000004,56.12244897959183,22,16.9,20.0,-7.8000000000000025,0.9006962696798102,-0.04466819609561576,0.6502827906085533,47.94846643093999,-2067.1483387523285,charged,sell_4.000J@67.00
36,2.1392351302557477,72,41,40,38.25263157894736,76.94736842105263,2.1795725277852496,38.119548872180445,76.68045112781955,2.104058593525676,37.986466165413525,76.41353383458647,2.000850076443443,37.72030075187969,75.8796992481203,1.8504226064603497,37.32105263157894,75.07894736842105,1.827258503806868,36.78872180451127,74.01127819548873,1.654074058887429,35.72406015037593,71.87593984962406,1.411851208570864,10.221236921749068,0.7142857142857142,60.909090909090914,36,18.9,10.0,-8.500000000000004,0.8862882475734462,-0.056932294436299685,0.6054752696088795,46.55424093073898,-2044.0789701798649,discharged,grid_3.595J_std
31,1.1569818569230095,63,42,30,38.25263157894736,76.94736842105263,2.104058593525676,38.119548872180445,76.68045112781955,2.000850076443443,37.986466165413525,76.41353383458647,1.883561211711939,37.72030075187969,75.8796992481203,1.8025468747980387,37.32105263157894,75.07894736842105,1.8000788026728423,36.78872180451127,74.01127819548873,1.6319982945532037,35.72406015037593,71.87593984962406,1.411851208570864,10.287831340190728,-0.13888888888888884,57.14285714285714,32,20.6,0.0,-8.999999999999995,0.9093714362352437,-0.06410718252900043,0.46446127939833476,47.14484228120516,-2079.945407744478,charged,solar_2.048J
45,2.08440627492484,91,43,20,38.25263157894736,76.94736842105263,2.000850076443443,38.119548872180445,76.68045112781955,1.883561211711939,37.986466165413525,76.41353383458647,1.8504226064603497,37.72030075187969,75.8796992481203,1.7876874897746582,37.32105263157894,75.07894736842105,1.7647329924207587,36.78872180451127,74.01127819548873,1.6227717140121574,35.72406015037593,71.87593984962406,1.411851208570864,11.513264661159091,0.7307692307692308,67.24137931034483,46,24.4,0.0,-9.5,0.8461876768924702,-0.043122819916515814,0.3186840405692199,46.09148169955857,-2061.6894610898685,discharged,grid_2.064J_std
