time_ms	voltage_Va	voltage_Vb	current_A	power_W
347	14.2197	0.7014	0.3004	0.2107
349	14.1827	0.7014	0.2964	0.2079
351	14.1786	0.7014	0.2987	0.2095
353	14.195	0.6932	0.3104	0.2152
355	14.195	0.7055	0.3071	0.2167
357	14.2197	0.7055	0.3037	0.2143
359	14.1786	0.7055	0.3	0.2117
361	14.1992	0.7137	0.3155	0.2252
363	14.2156	0.7096	0.313	0.2221
365	14.2074	0.7137	0.3094	0.2208
367	14.2197	0.7137	0.308	0.2198
369	14.1827	0.7219	0.3229	0.2331
371	14.195	0.7219	0.3184	0.2299
373	14.1992	0.726	0.3163	0.2296
375	14.2115	0.7137	0.3126	0.2231
377	14.2197	0.7383	0.3104	0.2292
379	14.2115	0.7301	0.3259	0.238
381	14.2279	0.7342	0.3218	0.2363
383	14.2197	0.7342	0.32	0.235
385	14.2074	0.7383	0.3167	0.2338
387	14.1868	0.7424	0.3131	0.2325
389	14.2115	0.7424	0.3093	0.2296
391	14.2279	0.7588	0.3264	0.2477
393	14.1909	0.7383	0.3208	0.2369
395	14.2074	0.7506	0.3185	0.2391
397	14.2156	0.7465	0.3154	0.2355
399	14.2074	0.7465	0.3138	0.2343
404	14.2197	0.7588	0.3238	0.2457
407	14.2115	0.7876	0.3187	0.251
409	14.2115	0.7629	0.3154	0.2406
411	14.2074	0.7753	0.3122	0.242
413	14.1909	0.7588	0.3104	0.2355
415	14.2238	0.7671	0.3069	0.2354
417	14.1868	0.7629	0.3238	0.247
419	14.195	0.7712	0.3204	0.2471
421	14.2115	0.7671	0.3162	0.2425
423	14.1992	0.7671	0.313	0.2401
425	14.1868	0.7794	0.3208	0.25
427	14.2156	0.7753	0.3286	0.2547
429	14.1909	0.7753	0.3236	0.2509
431	14.2238	0.7917	0.3201	0.2534
433	14.2115	0.7876	0.3168	0.2495
435	14.195	0.7712	0.3132	0.2415
437	14.2238	0.7876	0.3153	0.2483
439	14.2197	0.7876	0.3267	0.2573
441	14.195	0.7137	0.3244	0.2315
443	14.2074	0.7917	0.3205	0.2537
445	14.1992	0.7917	0.3174	0.2513
447	14.2197	0.7917	0.3141	0.2487
449	14.2074	0.7958	0.3302	0.2628
451	14.1868	0.8327	0.3263	0.2717
453	14.232	0.7999	0.3226	0.258
455	14.1992	0.7999	0.3191	0.2552
457	14.2074	0.804	0.3157	0.2538
459	14.2279	0.7958	0.3145	0.2503
461	14.2279	0.8081	0.3316	0.268
463	14.2074	0.8122	0.327	0.2656
465	14.232	0.8737	0.3235	0.2826
470	14.2156	0.8122	0.314	0.255
473	14.2115	0.8204	0.3118	0.2558
475	14.1909	0.8204	0.3079	0.2526
477	14.1992	0.8204	0.3249	0.2665
479	14.2074	0.8327	0.3214	0.2676
481	14.2033	0.8327	0.3175	0.2644
483	14.1868	0.8286	0.314	0.2602
485	14.2074	0.8286	0.3109	0.2576
487	14.195	0.8368	0.3095	0.259
489	14.1992	0.8368	0.3259	0.2727
491	14.2074	0.8368	0.3219	0.2694
493	14.2074	0.845	0.3183	0.269
495	14.2074	0.8327	0.3151	0.2624
497	14.2074	0.8409	0.3121	0.2624
499	14.2238	0.8409	0.3284	0.2761
503	14.2074	0.8327	0.3206	0.267
505	14.1827	0.8532	0.3172	0.2706
508	14.2279	0.8491	0.3138	0.2664
510	14.1909	0.8614	0.3133	0.2699
512	14.2238	0.8573	0.3272	0.2805
514	14.1827	0.8655	0.3231	0.2796
516	14.2074	0.8573	0.3193	0.2737
518	14.232	0.8655	0.3178	0.2751
520	14.1909	0.8614	0.3149	0.2713
522	14.195	0.8614	0.3115	0.2683
524	14.1827	0.8696	0.328	0.2852
526	14.195	0.8655	0.3241	0.2805
528	14.2197	0.8901	0.3205	0.2853
530	14.2197	0.8737	0.3185	0.2783
532	14.2115	0.8696	0.3153	0.2742
534	14.2156	0.8778	0.3118	0.2737
539	14.2403	0.8778	0.3231	0.2836
542	14.2279	0.886	0.3176	0.2814
544	14.1992	0.8901	0.3146	0.28
546	14.195	0.886	0.313	0.2773
548	14.2074	0.8901	0.31	0.2759
550	14.195	0.9024	0.3261	0.2943
552	14.2156	0.8942	0.3224	0.2883
554	14.2074	0.8942	0.3191	0.2853
556	14.1992	0.9024	0.3153	0.2845
558	14.2197	0.8983	0.3124	0.2806
560	14.2279	0.9024	0.319	0.2879
562	14.2074	0.9024	0.3277	0.2957
564	14.1992	0.9024	0.3233	0.2918
566	14.2074	0.9024	0.3196	0.2884
568	14.2074	0.9188	0.3164	0.2907
570	14.1909	0.9188	0.3132	0.2878
572	14.2074	0.9229	0.3298	0.3044
574	14.1786	0.9229	0.3256	0.3005
576	14.2074	0.9147	0.3237	0.2961
578	14.2115	0.9147	0.3204	0.2931
580	14.2115	0.9188	0.3173	0.2915
582	14.2197	0.927	0.3138	0.2909
584	14.2115	0.927	0.3104	0.2877
586	14.1992	0.927	0.3274	0.3035
588	14.2074	0.9229	0.3231	0.2982
590	14.1992	0.9352	0.3194	0.2987
592	14.2156	0.927	0.3164	0.2933
595	14.2115	0.9311	0.3127	0.2912
597	14.1909	0.9393	0.3295	0.3095
599	14.1909	0.9311	0.3261	0.3036
601	14.2074	0.927	0.3222	0.2987
635	14.2238	0.9557	0.275	0.2628
638	14.2115	0.9598	0.2722	0.2613
640	14.195	0.9434	0.2895	0.2731
642	14.2115	0.9639	0.2857	0.2754
645	14.195	0.968	0.3014	0.2918
647	14.2156	0.9762	0.2995	0.2924
649	14.232	0.9721	0.2954	0.2872
651	14.195	0.8409	0.2922	0.2457
653	14.1868	0.9721	0.3086	0.3
655	14.2279	0.9721	0.3049	0.2964
657	14.2197	0.9762	0.3036	0.2964
659	14.2115	0.9845	0.3185	0.3135
661	14.1992	0.9927	0.3143	0.312
663	14.195	0.9886	0.3119	0.3083
665	14.1992	0.9886	0.3093	0.3058
667	14.2156	0.9968	0.3057	0.3047
669	14.2156	0.9968	0.3218	0.3208
671	14.2074	1.005	0.3179	0.3195
673	14.2279	1.0173	0.3143	0.3197
675	14.195	1.0009	0.3108	0.3111
677	14.1992	1.0009	0.3093	0.3096
679	14.2156	1.005	0.3268	0.3284
681	14.2115	1.0173	0.3226	0.3282
683	14.2156	1.0091	0.3188	0.3217
685	14.195	1.005	0.3155	0.3171
687	14.2074	1.0091	0.315	0.3179
689	14.1868	1.0173	0.3281	0.3338
691	14.2115	1.0173	0.3256	0.3312
693	14.2074	1.0173	0.3227	0.3283
695	14.2156	1.0173	0.319	0.3245
697	14.2197	1.0296	0.3155	0.3248
702	14.2238	1.0255	0.3146	0.3226
704	14.2279	1.0296	0.3243	0.3339
707	14.2238	1.0296	0.3208	0.3303
709	14.1827	1.0337	0.3163	0.327
711	14.2403	1.0337	0.3133	0.3239
713	14.2074	1.0337	0.3102	0.3206
715	14.1909	1.0378	0.309	0.3207
717	14.2279	1.0419	0.3234	0.3369
719	14.195	1.0337	0.3199	0.3307
721	14.1827	1.0544	0.3182	0.3355
723	14.2238	1.0419	0.3145	0.3277
725	14.2115	1.0544	0.3114	0.3284
727	14.2115	1.0544	0.3282	0.3461
728	14.2238	1.0503	0.3238	0.3401
731	14.2197	1.0544	0.3207	0.3382
733	14.195	1.0544	0.3171	0.3344
735	14.2156	1.0585	0.3152	0.3337
737	14.2485	1.0585	0.3121	0.3304
739	14.195	1.0626	0.3294	0.35
741	14.2074	1.0749	0.3251	0.3495
743	14.1909	1.0585	0.3213	0.3401
745	14.2115	1.0667	0.3181	0.3393
749	14.2115	1.0626	0.3112	0.3307
751	14.195	1.0832	0.3143	0.3404
753	14.1909	1.0708	0.3243	0.3473
755	14.2074	1.0708	0.3224	0.3452
757	14.1868	1.0832	0.3191	0.3456
759	14.2074	1.0832	0.3161	0.3424
761	14.2238	1.0873	0.3122	0.3394
763	14.1868	1.0914	0.3295	0.3596
765	14.1909	1.0873	0.3252	0.3536
770	14.2238	1.0914	0.3163	0.3452
773	14.2156	1.0873	0.3134	0.3407
775	14.2156	1.0914	0.31	0.3383
777	14.2115	1.0914	0.3102	0.3385
779	14.232	1.0873	0.3238	0.3521
781	14.2156	1.0996	0.3218	0.3538
783	14.2074	1.0996	0.3179	0.3496
785	14.195	1.1078	0.3148	0.3487
787	14.2115	1.1037	0.3113	0.3436
789	14.1909	1.116	0.3278	0.3658
791	14.2115	1.1078	0.3241	0.359
793	14.2197	1.1078	0.32	0.3545
795	14.1909	1.116	0.3185	0.3554
797	14.2238	1.116	0.3149	0.3514
799	14.2074	1.116	0.3122	0.3484
801	14.2485	1.1201	0.3293	0.3688
803	14.2115	1.1201	0.3254	0.3645
805	14.2115	1.1242	0.3219	0.3619
807	14.2074	1.1283	0.3182	0.359
809	14.2115	1.1242	0.3164	0.3557
811	14.1868	1.1324	0.3129	0.3543
813	14.2074	1.1324	0.33	0.3737
815	14.1992	1.1283	0.326	0.3678
817	14.2074	1.1324	0.3226	0.3653
819	14.1868	1.1324	0.3194	0.3617
821	14.2156	1.1324	0.3161	0.3579
823	14.2115	1.1365	0.3139	0.3567
825	14.2074	1.1406	0.3313	0.3779
827	14.1868	1.1488	0.3272	0.3759
829	14.195	1.1406	0.323	0.3684
831	14.1786	1.1488	0.3199	0.3675
836	14.2279	1.1529	0.3112	0.3588
839	14.2197	1.1529	0.3089	0.3561
841	14.1909	1.1611	0.3258	0.3783
843	14.1992	1.157	0.3217	0.3722
845	14.2156	1.157	0.3186	0.3686
847	14.2238	1.1611	0.3149	0.3656
849	14.1992	1.1652	0.3125	0.3641
851	14.195	1.1652	0.328	0.3822
853	14.2156	1.1652	0.3264	0.3803
855	14.2074	1.1693	0.3224	0.377
857	14.2238	1.1816	0.3186	0.3765
859	14.1909	1.1734	0.3159	0.3707
861	14.2197	1.1734	0.3125	0.3667
863	14.2074	1.1734	0.3289	0.3859
865	14.195	1.1857	0.3256	0.3861
867	14.2074	1.1693	0.3218	0.3763
869	14.1909	1.1775	0.3196	0.3763
871	14.2197	1.1693	0.3162	0.3697
873	14.195	1.1816	0.3132	0.3701
875	14.2156	1.1857	0.3302	0.3915
877	14.1827	1.2021	0.3259	0.3918
879	14.2074	1.1939	0.3231	0.3858
881	14.1909	1.1898	0.3194	0.38
883	14.195	1.198	0.3171	0.3799
885	14.2115	1.2021	0.3144	0.3779
887	14.1992	1.198	0.3311	0.3967
889	14.195	1.2062	0.3269	0.3943
891	14.2238	1.2021	0.3233	0.3886
893	14.1909	1.2021	0.3201	0.3848
895	14.2156	1.2021	0.3165	0.3805
897	14.2279	1.2144	0.3148	0.3823
930	14.2156	1.2349	0.2863	0.3536
932	14.2115	1.2349	0.2824	0.3487
935	14.2074	1.2308	0.2915	0.3588
937	14.195	1.239	0.296	0.3668
939	14.2074	1.2349	0.2932	0.3621
941	14.1992	1.2349	0.2919	0.3605
943	14.2115	1.239	0.2884	0.3573
945	14.1992	1.2431	0.3056	0.3799
947	14.2156	1.2431	0.3016	0.3749
949	14.1786	1.2472	0.2979	0.3715
951	14.1827	1.2513	0.3148	0.3939
953	14.1992	1.2554	0.3107	0.3901
955	14.1868	1.2677	0.3091	0.3919
957	14.2115	1.2513	0.3059	0.3828
959	14.1992	1.2595	0.3234	0.4073
961	14.1992	1.2636	0.3189	0.403
963	14.2156	1.2718	0.3152	0.4009
965	14.2115	1.2554	0.3119	0.3916
967	14.195	1.2554	0.3095	0.3886
969	14.1827	1.2718	0.325	0.4133
971	14.1909	1.2677	0.3209	0.4068
973	14.195	1.2718	0.3194	0.4062
975	14.195	1.2718	0.3159	0.4018
977	14.2115	1.2841	0.3127	0.4016
979	14.1992	1.2882	0.3298	0.4249
981	14.2403	1.28	0.3258	0.417
983	14.2156	1.2841	0.3223	0.4139
985	14.1992	1.2882	0.3182	0.4099
987	14.1909	1.2882	0.3171	0.4085
991	14.2156	1.3047	0.3304	0.4311
994	14.2074	1.2923	0.3247	0.4196
1003	14.2238	1.3129	0.3092	0.4059
1006	14.2115	1.2965	0.3068	0.3978
1009	14.195	1.3006	0.3014	0.392
1011	14.2279	1.3047	0.306	0.3992
1013	14.2197	1.3088	0.3155	0.4129
1015	14.2238	1.317	0.3137	0.4131
1017	14.195	1.3129	0.3103	0.4074
1019	14.1992	1.317	0.3075	0.405
1021	14.2403	1.3211	0.3042	0.4019
1023	14.2074	1.3457	0.3208	0.4317
1025	14.1868	1.3252	0.3174	0.4206
1027	14.195	1.3293	0.3134	0.4166
1029	14.2156	1.3211	0.3098	0.4093
1031	14.2156	1.3375	0.3085	0.4126
1033	14.2115	1.3293	0.3262	0.4336
1035	14.195	1.3375	0.3214	0.4299
1037	14.1992	1.3375	0.3182	0.4256
1039	14.2156	1.3334	0.3149	0.4199
1041	14.1909	1.3293	0.3137	0.417
1043	14.1992	1.3457	0.3283	0.4418
1045	14.2197	1.3416	0.3241	0.4348
1047	14.195	1.3375	0.3226	0.4315
1049	14.2197	1.3375	0.3186	0.4261
1051	14.1992	1.358	0.3155	0.4284
1053	14.2115	1.3539	0.3122	0.4227
1055	14.2074	1.3252	0.3292	0.4362
1057	14.1868	1.3498	0.3248	0.4384
1059	14.2238	1.3539	0.3224	0.4365
1061	14.1992	1.3621	0.3201	0.436
1063	14.2238	1.3539	0.3168	0.4289
1068	14.2279	1.3621	0.3089	0.4207
1071	14.2156	1.3539	0.3232	0.4376
1073	14.1992	1.3744	0.3221	0.4427
1075	14.2197	1.358	0.3184	0.4324
1077	14.1909	1.358	0.3147	0.4274
1079	14.2156	1.358	0.3119	0.4236
1081	14.1992	1.3785	0.3291	0.4537
1083	14.2074	1.3744	0.3247	0.4463
1085	14.2074	1.3744	0.3211	0.4413
1087	14.1909	1.3785	0.318	0.4384
1089	14.195	1.3826	0.314	0.4341
1091	14.1909	1.3867	0.3125	0.4333
1093	14.2074	1.3908	0.3302	0.4592
1095	14.2074	1.3826	0.3255	0.45
1097	14.1909	1.3908	0.3222	0.4481
1099	14.2074	1.3908	0.3192	0.4439
1101	14.1992	1.3908	0.3159	0.4394
1103	14.2074	1.3908	0.3159	0.4394
1105	14.2115	1.3949	0.3294	0.4595
1107	14.1868	1.4072	0.3258	0.4585
1109	14.1827	1.399	0.3234	0.4524
1112	14.1827	1.399	0.3186	0.4457
1114	14.1909	1.4031	0.3149	0.4418
1116	14.2115	1.4031	0.3231	0.4533
1118	14.1992	1.4113	0.3307	0.4667
1120	14.2074	1.4154	0.3268	0.4626
1122	14.2115	1.4318	0.3234	0.463
1124	14.1909	1.4195	0.3193	0.4532
1126	14.1992	1.4113	0.3169	0.4472
1128	14.1992	1.4195	0.3181	0.4515
1133	14.2197	1.4236	0.3261	0.4642
1135	14.1909	1.4318	0.3202	0.4585
1138	14.1868	1.4236	0.3168	0.451
1140	14.195	1.4318	0.3149	0.4509
1142	14.1909	1.4236	0.3106	0.4422
1144	14.2403	1.4318	0.3159	0.4523
1146	14.2156	1.4318	0.3271	0.4683
1148	14.2074	1.4359	0.3231	0.4639
1150	14.1909	1.4482	0.3183	0.461
1152	14.2197	1.4441	0.3155	0.4556
1154	14.2074	1.4277	0.3124	0.446
1156	14.2238	1.4482	0.309	0.4475
1158	14.1992	1.4523	0.3262	0.4737
1160	14.2156	1.4605	0.3228	0.4715
1162	14.1868	1.4482	0.3188	0.4617
1164	14.1992	1.4523	0.3172	0.4607
1166	14.2074	1.4482	0.314	0.4547
1168	14.2156	1.4564	0.3312	0.4824
1170	14.2115	1.4482	0.3262	0.4724
1172	14.195	1.4564	0.3232	0.4707
1174	14.1868	1.4564	0.3195	0.4653
1176	14.232	1.4564	0.3162	0.4605
1178	14.2156	1.4646	0.3146	0.4608
1180	14.2115	1.4605	0.3328	0.4861
1182	14.2197	1.4605	0.328	0.4791
1184	14.195	1.4687	0.3241	0.476
1186	14.2074	1.4687	0.3217	0.4725
1188	14.2156	1.4687	0.3173	0.466
1190	14.1909	1.4605	0.314	0.4586
1192	14.2115	1.4769	0.3124	0.4614
1229	14.2115	1.4933	0.2794	0.4172
1232	14.195	1.5015	0.276	0.4144
