time_ms	voltage_Va	voltage_Vb	current_A	power_W
534	14.2403	13.9046	0.0042	0.0598
537	14.2403	13.9005	0.0041	0.0584
543	14.2197	13.921	0.0043	0.0611
547	14.2279	13.9087	0.004	0.0569
550	14.2444	13.9169	0.0039	0.0556
553	14.2238	13.921	0.0041	0.0583
556	14.2403	13.9046	0.004	0.057
559	14.2115	13.9046	0.0042	0.0597
562	14.2485	13.9128	0.0039	0.0556
565	14.2115	13.9169	0.0042	0.0597
568	14.232	13.9169	0.004	0.0569
571	14.2403	13.9128	0.004	0.057
574	14.2403	13.921	0.0044	0.0627
577	14.2567	13.9087	0.0042	0.0599
580	14.2444	13.9046	0.0042	0.0598
583	14.2444	13.9046	0.0041	0.0584
586	14.2444	13.8964	0.0042	0.0598
589	14.2444	13.9046	0.0038	0.0541
592	14.232	13.9046	0.0041	0.0584
595	14.2485	13.9005	0.0041	0.0584
598	14.2403	13.9169	0.0042	0.0598
601	14.2444	13.8964	0.0041	0.0584
604	14.2444	13.921	0.0039	0.0556
607	14.2444	13.9005	0.0039	0.0556
610	14.2403	13.9374	0.0041	0.0584
613	14.232	13.921	0.0044	0.0626
616	14.2444	13.8964	0.0042	0.0598
619	14.2444	13.8882	0.004	0.057
622	14.2279	13.9292	0.004	0.0569
625	14.2444	13.8923	0.0042	0.0598
628	14.2403	13.9046	0.0039	0.0555
631	14.2567	13.9005	0.0041	0.0585
637	14.232	13.9046	0.0042	0.0598
641	14.2485	13.8964	0.0041	0.0584
644	14.2567	13.8841	0.0041	0.0585
647	14.2403	13.9046	0.0042	0.0598
650	14.2526	13.8923	0.004	0.057
653	14.2238	13.9005	0.0042	0.0597
656	14.2403	13.8964	0.0041	0.0584
659	14.2444	13.9005	0.0042	0.0598
662	14.2444	13.921	0.0041	0.0584
665	14.2238	13.8923	0.004	0.0569
668	14.2567	13.8882	0.0043	0.0613
671	14.2279	13.9087	0.004	0.0569
674	14.2485	13.8923	0.0042	0.0598
677	14.2238	13.8964	0.0041	0.0583
680	14.2238	13.9005	0.0044	0.0626
683	14.2403	13.8964	0.0041	0.0584
686	14.2444	13.9005	0.0046	0.0655
689	14.2485	13.9497	0.0041	0.0584
692	14.2156	13.9046	0.0041	0.0583
695	14.2197	13.8964	0.0041	0.0583
698	14.2444	13.8964	0.0041	0.0584
701	14.2403	13.8882	0.0041	0.0584
704	14.2197	13.8964	0.0042	0.0597
707	14.232	13.9005	0.0041	0.0584
710	14.232	13.921	0.004	0.0569
713	14.232	13.8923	0.004	0.0569
716	14.2444	13.921	0.0039	0.0556
719	14.2238	13.8841	0.0044	0.0626
722	14.2403	13.8923	0.0041	0.0584
725	14.2444	13.9169	0.004	0.057
731	14.2403	13.9005	0.004	0.057
735	14.2197	13.9087	0.0041	0.0583
738	14.2485	13.8882	0.0042	0.0598
741	14.2197	13.9005	0.0041	0.0583
744	14.2197	13.9087	0.0041	0.0583
747	14.2156	13.8923	0.0037	0.0526
750	14.2444	13.9046	0.0041	0.0584
753	14.2279	13.9046	0.004	0.0569
756	14.2526	13.8923	0.004	0.057
759	14.2403	13.9087	0.0044	0.0627
762	14.2444	13.9128	0.0042	0.0598
765	14.2444	13.8882	0.004	0.057
768	14.2197	13.921	0.0039	0.0555
771	14.2485	13.8923	0.0041	0.0584
774	14.2649	13.9046	0.004	0.0571
777	14.2403	13.8923	0.0041	0.0584
780	14.2279	13.9087	0.0042	0.0598
783	14.2279	13.9046	0.004	0.0569
787	14.232	13.8923	0.0042	0.0598
791	14.232	13.9046	0.0044	0.0626
794	14.2444	13.8923	0.0039	0.0556
797	14.232	13.9005	0.0041	0.0584
800	14.2403	13.8923	0.004	0.057
803	14.2403	13.8882	0.0041	0.0584
806	14.2403	13.8841	0.0041	0.0584
809	14.2485	13.8923	0.0041	0.0584
812	14.2485	13.8841	0.0044	0.0627
815	14.2238	13.9046	0.0042	0.0597
818	14.232	13.9046	0.004	0.0569
821	14.232	13.8882	0.004	0.0569
824	14.2197	13.9005	0.0041	0.0583
859	14.2279	13.8923	0.0041	0.0583
863	14.2526	13.8841	0.004	0.057
866	14.232	13.8882	0.004	0.0569
869	14.232	13.8841	0.0041	0.0584
872	14.232	13.9005	0.004	0.0569
875	14.2403	13.8841	0.004	0.057
878	14.232	13.8964	0.004	0.0569
881	14.2444	13.8923	0.0044	0.0627
884	14.232	13.8841	0.0042	0.0598
887	14.2197	13.8923	0.0044	0.0626
890	14.2444	13.8841	0.0041	0.0584
893	14.2485	13.8841	0.0042	0.0598
896	14.2444	13.8759	0.0041	0.0584
899	14.2403	13.8882	0.0042	0.0598
902	14.2403	13.8841	0.0044	0.0627
905	14.2567	13.88	0.0041	0.0585
908	14.2279	13.8882	0.0042	0.0598
911	14.2403	13.8759	0.0042	0.0598
914	14.2403	13.8923	0.004	0.057
917	14.232	13.8923	0.0044	0.0626
920	14.2403	13.9169	0.0041	0.0584
923	14.2485	13.8718	0.0042	0.0598
926	14.2444	13.8923	0.0041	0.0584
929	14.2115	13.8841	0.0042	0.0597
932	14.2444	13.8841	0.0041	0.0584
935	14.2197	13.8923	0.0041	0.0583
938	14.232	13.8882	0.0042	0.0598
941	14.2485	13.8759	0.0041	0.0584
944	14.232	13.8841	0.0044	0.0626
950	14.2444	13.8841	0.0042	0.0598
954	14.2403	13.8759	0.004	0.057
957	14.2444	13.88	0.0039	0.0556
960	14.2238	13.8636	0.0041	0.0583
963	14.232	13.8759	0.0042	0.0598
966	14.2361	13.8964	0.0039	0.0555
969	14.2526	13.8718	0.0042	0.0599
972	14.2403	13.8841	0.0042	0.0598
975	14.2197	13.8882	0.0041	0.0583
978	14.2567	13.8718	0.0041	0.0585
